type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
single_family,1997,4.0,3.0,3.0,1.0,2.0,40946.0,2944.0,2.0,2019-03-15,1099000.0,for_sale,2019,3,27,0
condo,1984,1.0,1.0,1.0,1.0,1.0,13939.0,1087.0,1.0,2018-05-31,315000.0,for_sale,2018,5,40,0
condo,1914,2.0,1.0,2.0,1.0,1.0,4356.0,769.0,1.0,2022-08-25,495000.0,for_sale,2022,8,110,0
single_family,1998,4.0,5.0,5.0,1.0,3.0,30492.0,3797.0,1.0,2019-01-31,2150000.0,for_sale,2019,1,26,0
single_family,1912,1.0,1.0,1.0,1.0,2.0,5663.0,1388.0,2.0,2020-01-10,249000.0,for_sale,2020,1,112,0
single_family,2014,3.0,2.0,2.0,1.0,2.0,7841.0,1329.0,1.0,2018-05-31,473935.0,for_sale,2018,5,10,0
townhouse,2022,4.0,4.0,3.0,1.0,2.0,1307.0,2237.0,3.0,2022-03-30,530000.0,for_sale,2022,3,2,0
townhouse,2016,4.0,3.0,3.0,1.0,2.0,2178.0,3049.0,3.0,2017-01-30,1250000.0,for_sale,2017,1,8,0
townhouse,1999,3.0,3.0,2.0,1.0,2.0,2614.0,1668.0,3.0,2016-08-29,379999.0,for_sale,2016,8,25,0
townhouse,1997,4.0,2.0,1.0,1.0,2.0,1742.0,1720.0,3.0,2012-11-09,369000.0,for_sale,2012,11,27,0
single_family,2023,4.0,5.0,5.0,1.0,3.0,8276.0,2644.0,1.0,2018-05-31,899995.0,for_sale,2018,5,1,0
single_family,1980,5.0,2.0,2.0,1.0,2.0,130680.0,1882.0,1.0,2018-05-31,400000.0,for_sale,2018,5,44,0
townhouse,1999,2.0,2.0,1.0,1.0,2.0,2178.0,1216.0,2.0,2016-06-06,299000.0,for_sale,2016,6,25,0
townhouse,2014,3.0,2.0,1.0,1.0,2.0,436.0,1366.0,2.0,2021-03-03,280000.0,for_sale,2021,3,10,0
single_family,1968,2.0,1.0,1.0,1.0,2.0,3485.0,672.0,1.0,2018-05-31,185000.0,for_sale,2018,5,56,0
condo,2019,3.0,2.0,2.0,1.0,1.0,436.0,1272.0,1.0,2023-05-15,350000.0,for_sale,2023,5,5,0
